pos,html,tekst,nwepositie,nwehtml,nwetekst,tskop
0,h2,Nieuwe website: duurzame groei,0,h2,Duurzaam ondernemen loont. Doe de test,
1,p,Ondernemers zijn in toenemende mate geïnteresseerd in duurzaam ondernemen. Ze willen concrete handreikingen om duurzaam ondernemen onderdeel te laten uitmaken van de bedrijfsvoering.,1,p,Duurzaam ondernemen is goed voor de samenleving én voor bedrijven. Maar hoe maakt u uw bedrijf duurzamer? En wat levert het u op?,
2,span,"Om aan deze behoefte tegemoet te komen, introduceert TNO de website Duurzamegroei.nl.",2,span,De nieuwe website Duurzamegroei.nl laat het zien. De website is een initiatief van TNO.,
3,p,"Bij ondernemers groeit het besef dat duurzaam ondernemen, ook vaak MVO ofwel maatschappelijk verantwoord ondernemen genoemd, toegevoegde waarde heeft voor hun bedrijf en de omgeving. Ze zien dat het hun bedrijf een betere reputatie kan bezorgen en dat ze daardoor ook klanten aantrekken die duurzaamheid belangrijk vinden.",3,p,Duurzaam ondernemen bezorgt uw bedrijf een betere reputatie. Daardoor trekt u ook klanten aan die duurzaamheid belangrijk vinden.,
4,span,"Een andere belangrijke reden is de tevredenheid van het personeel en de gevolgen voor de arbeidsproductiviteit, want bij duurzaam ondernemen is er ook oog voor goede arbeidsvoorwaarden en faciliteiten waardoor medewerkers plezierig werken en gemotiveerd zijn.",12,p,Goed zorgen voor uw medewerkers loont ook. Met goede arbeidsvoorwaarden krijgt u medewerkers die met plezier werken en gemotiveerd zijn.,Lager ziekteverzuim
5,span,"Dat bevordert de productiviteit van medewerkers. Een ander gunstig neveneffect hiervan is een lager ziekteverzuim. Bovendien blijven tevreden medewerkers  langer in dienst, wat de continuïteit van uw bedrijf bevordert.",13,span,"Dat merkt u aan een hogere arbeidsproductiviteit en een lager ziekteverzuim. Bovendien blijven medewerkers langer in dienst, wat goed is voor de continuïteit van uw bedrijfsvoering.",
6,p,"Duurzaam ondernemen gaat een stuk verder dan gerecycled papier gebruiken en Max Havelaar koffie drinken. Duurzaam ondernemen kan in elke activiteit van een bedrijf, van strategie tot financiën.",6,p,Misschien gebruikt u al gerecycled papier en Max Havelaar koffie. Maar duurzaam ondernemen gaat verder dan dat.,Meer dan Max Havelaar koffie
7,span,Om enkele voorbeelden te noemen voor de bedrijfsvoering: ,7,span,Zo,
8,span,"er kan aandacht worden besteed aan energiebesparende maatregelen op kantoor, ",8,span,kunt u energiebesparende maatregelen nemen die zich al na enkele jaren terugbetalen. ,
9,span,of er kan worden geïnvesteerd in het opleidingsniveau van werknemers bijvoorbeeld met leer-werktrajecten.,14,span,Ook loont het om te investeren in het opleidingsniveau van werknemers met bijvoorbeeld leer-werktrajecten.,
10,span,Sommige bedrijven kunnen besluiten om,9,span,U kunt,
11,span,"gebruik te gaan maken van milieuvriendelijke grondstoffen of uitsluitend met toeleveranciers in zee te gaan die geen gebruik maken van kinderarbeid. Nog een andere mogelijkheid is materialen, kennis of faciliteiten ter beschikking stellen aan maatschappelijke initiatieven.",10,span,overgaan op milieuvriendelijke grondstoffen of toeleveranciers kiezen die geen gebruik maken van kinderarbeid. Ook kunt u maatschappelijke initiatieven ondersteunen met kennis of faciliteiten. ,
12,p,Ondanks de talrijke praktische voorbeelden blijkt duurzaam ondernemen echter voor veel ondernemers nog een breed en abstract begrip waarover ze onvoldoende op henzelf afgestemde informatie kunnen vinden.,4,span,Duurzamegroei.nl geeft u informatie afgestemd op uw eigen bedrijf. ,
13,span,Ondernemers hebben behoefte aan handreikingen over hoe ze op een praktische manier invulling kunnen geven aan duurzaam ondernemen. Om in de behoefte aan praktische informatie te voorzien,11,span,Duurzamegroei.nl zet de mogelijkheden voor uw bedrijf op een rij.,
14,span,introduceert TNO de website Duurzamegroei.nl.,16,span,Duurzamegroei.nl is ontwikkeld door TNO.,
15,span,"De ondernemer vindt op deze site tips en praktijkvoorbeelden, kan zich vergelijken met zijn branchegenoten en zijn duurzaamheid testen. Hij kan direct aan de slag met een actielijst.",15,p,Op Duurzamegroei.nl kunt u uw bedrijf vergelijken met branchegenoten en zo uw duurzaamheid testen. En een actielijst helpt u als u duurzaam aan de slag wilt.,Kijk naar branchegenoten
16,span,Deze komt tot stand door het invullen van elf korte vragen en geeft inzicht in welke duurzame inspanningen kunnen lonen.,5,span,U vult een korte vragenlijst in en ziet daarna welke duurzame maatregelen gunstig zijn voor uw bedrijf. ,
17,span,Voldoende redenen dus om eens een kijkje te nemen op Duurzamegroei.nl.,17,span,Meer weten? Ga naar Duurzamegroei.nl,
